pickup_date,comp_dist_bins,post_treatment_time_dummy,Count
2010-01-01,0.0,0,203
2010-01-01,0.0,1,216
2010-01-01,0.25,0,238
2010-01-01,0.25,1,441
2010-01-01,0.5,0,1131
2010-01-01,0.5,1,1874
2010-01-01,1.0,0,4746
2010-01-01,1.0,1,8744
2010-01-01,2.0,0,8699
2010-01-01,2.0,1,16429
2010-01-01,4.0,0,7304
2010-01-01,4.0,1,12724
2010-01-01,8.0,0,3428
2010-01-01,8.0,1,5046
2010-01-01,16.0,0,1882
2010-01-01,16.0,1,2431
2010-01-01,32.0,0,631
2010-01-01,32.0,1,1262
2010-01-02,0.0,0,329
2010-01-02,0.0,1,338
2010-01-02,0.25,0,356
2010-01-02,0.25,1,590
2010-01-02,0.5,0,2176
2010-01-02,0.5,1,3667
2010-01-02,1.0,0,8887
2010-01-02,1.0,1,14650
2010-01-02,2.0,0,14235
2010-01-02,2.0,1,23390
2010-01-02,4.0,0,10600
2010-01-02,4.0,1,16020
2010-01-02,8.0,0,3845
2010-01-02,8.0,1,5045
2010-01-02,16.0,0,1877
2010-01-02,16.0,1,2298
2010-01-02,32.0,0,802
2010-01-02,32.0,1,1390
2010-01-02,33.0,0,6
2010-01-03,0.0,0,318
2010-01-03,0.0,1,351
2010-01-03,0.25,0,350
2010-01-03,0.25,1,581
2010-01-03,0.5,0,2357
2010-01-03,0.5,1,3846
2010-01-03,1.0,0,9114
2010-01-03,1.0,1,15323
2010-01-03,2.0,0,13796
2010-01-03,2.0,1,22684
2010-01-03,4.0,0,9979
2010-01-03,4.0,1,15876
2010-01-03,8.0,0,3972
2010-01-03,8.0,1,5143
2010-01-03,16.0,0,2430
2010-01-03,16.0,1,2834
2010-01-03,32.0,0,773
2010-01-03,32.0,1,1470
2010-01-04,0.0,0,280
2010-01-04,0.0,1,270
2010-01-04,0.25,0,523
2010-01-04,0.25,1,596
2010-01-04,0.5,0,3497
2010-01-04,0.5,1,3770
2010-01-04,1.0,0,13804
2010-01-04,1.0,1,13929
2010-01-04,2.0,0,20370
2010-01-04,2.0,1,20004
2010-01-04,4.0,0,12658
2010-01-04,4.0,1,11849
2010-01-04,8.0,0,4467
2010-01-04,8.0,1,4028
2010-01-04,16.0,0,3242
2010-01-04,16.0,1,3234
2010-01-04,32.0,0,965
2010-01-04,32.0,1,1375
2010-01-04,33.0,1,6
2010-01-05,0.0,0,216
2010-01-05,0.0,1,270
2010-01-05,0.25,0,570
2010-01-05,0.25,1,662
2010-01-05,0.5,0,4130
2010-01-05,0.5,1,4395
2010-01-05,1.0,0,16673
2010-01-05,1.0,1,16572
2010-01-05,2.0,0,24298
2010-01-05,2.0,1,23341
2010-01-05,4.0,0,14796
2010-01-05,4.0,1,12974
2010-01-05,8.0,0,4968
2010-01-05,8.0,1,4244
2010-01-05,16.0,0,2563
2010-01-05,16.0,1,2871
2010-01-05,32.0,0,657
2010-01-05,32.0,1,1246
2010-01-06,0.0,0,207
2010-01-06,0.0,1,261
2010-01-06,0.25,0,583
2010-01-06,0.25,1,667
2010-01-06,0.5,0,4104
2010-01-06,0.5,1,4537
2010-01-06,1.0,0,17027
2010-01-06,1.0,1,17325
2010-01-06,2.0,0,25449
2010-01-06,2.0,1,24727
2010-01-06,4.0,0,15516
2010-01-06,4.0,1,13736
2010-01-06,8.0,0,5083
2010-01-06,8.0,1,4403
2010-01-06,16.0,0,2450
2010-01-06,16.0,1,2795
2010-01-06,32.0,0,565
2010-01-06,32.0,1,1226
2010-01-06,33.0,0,11
2010-01-07,0.0,0,204
2010-01-07,0.0,1,290
2010-01-07,0.25,0,524
2010-01-07,0.25,1,618
2010-01-07,0.5,0,4229
2010-01-07,0.5,1,4669
2010-01-07,1.0,0,17352
2010-01-07,1.0,1,17563
2010-01-07,2.0,0,25736
2010-01-07,2.0,1,25072
2010-01-07,4.0,0,15765
2010-01-07,4.0,1,13951
2010-01-07,8.0,0,5191
2010-01-07,8.0,1,4668
2010-01-07,16.0,0,2429
2010-01-07,16.0,1,2976
2010-01-07,32.0,0,532
2010-01-07,32.0,1,1177
2010-01-07,33.0,0,8
2010-01-07,33.0,1,6
2010-01-08,0.0,0,216
2010-01-08,0.0,1,221
2010-01-08,0.25,0,534
2010-01-08,0.25,1,629
2010-01-08,0.5,0,4089
2010-01-08,0.5,1,4560
2010-01-08,1.0,0,16754
2010-01-08,1.0,1,17761
2010-01-08,2.0,0,24642
2010-01-08,2.0,1,25395
2010-01-08,4.0,0,15312
2010-01-08,4.0,1,14311
2010-01-08,8.0,0,5078
2010-01-08,8.0,1,4434
2010-01-08,16.0,0,2174
2010-01-08,16.0,1,3006
2010-01-08,32.0,0,549
2010-01-08,32.0,1,1107
2010-01-09,0.0,0,184
2010-01-09,0.0,1,215
2010-01-09,0.25,0,396
2010-01-09,0.25,1,594
2010-01-09,0.5,0,3222
2010-01-09,0.5,1,4075
2010-01-09,1.0,0,12903
2010-01-09,1.0,1,16740
2010-01-09,2.0,0,20035
2010-01-09,2.0,1,26877
2010-01-09,4.0,0,14246
2010-01-09,4.0,1,18121
2010-01-09,8.0,0,4391
2010-01-09,8.0,1,5230
2010-01-09,16.0,0,1662
2010-01-09,16.0,1,2023
2010-01-09,32.0,0,449
2010-01-09,32.0,1,891
2010-01-10,0.0,0,210
2010-01-10,0.0,1,275
2010-01-10,0.25,0,380
2010-01-10,0.25,1,560
2010-01-10,0.5,0,2597
2010-01-10,0.5,1,3748
2010-01-10,1.0,0,10613
2010-01-10,1.0,1,15723
2010-01-10,2.0,0,17021
2010-01-10,2.0,1,25712
2010-01-10,4.0,0,12300
2010-01-10,4.0,1,17701
2010-01-10,8.0,0,4209
2010-01-10,8.0,1,5451
2010-01-10,16.0,0,2221
2010-01-10,16.0,1,3268
2010-01-10,32.0,0,567
2010-01-10,32.0,1,1226
2010-01-11,0.0,0,230
2010-01-11,0.0,1,252
2010-01-11,0.25,0,564
2010-01-11,0.25,1,580
2010-01-11,0.5,0,4020
2010-01-11,0.5,1,4385
2010-01-11,1.0,0,16534
2010-01-11,1.0,1,16626
2010-01-11,2.0,0,24403
2010-01-11,2.0,1,23921
2010-01-11,4.0,0,14432
2010-01-11,4.0,1,13341
2010-01-11,8.0,0,4829
2010-01-11,8.0,1,4284
2010-01-11,16.0,0,3449
2010-01-11,16.0,1,2983
2010-01-11,32.0,0,721
2010-01-11,32.0,1,1089
2010-01-12,0.0,0,252
2010-01-12,0.0,1,287
2010-01-12,0.25,0,593
2010-01-12,0.25,1,696
2010-01-12,0.5,0,4332
2010-01-12,0.5,1,4519
2010-01-12,1.0,0,18246
2010-01-12,1.0,1,17857
2010-01-12,2.0,0,27328
2010-01-12,2.0,1,25690
2010-01-12,4.0,0,15722
2010-01-12,4.0,1,14238
2010-01-12,8.0,0,5101
2010-01-12,8.0,1,4761
2010-01-12,16.0,0,2998
2010-01-12,16.0,1,3338
2010-01-12,32.0,0,564
2010-01-12,32.0,1,1146
2010-01-12,33.0,1,5
2010-01-13,0.0,0,260
2010-01-13,0.0,1,280
2010-01-13,0.25,0,625
2010-01-13,0.25,1,709
2010-01-13,0.5,0,4666
2010-01-13,0.5,1,4874
2010-01-13,1.0,0,18694
2010-01-13,1.0,1,18948
2010-01-13,2.0,0,27471
2010-01-13,2.0,1,27022
2010-01-13,4.0,0,16468
2010-01-13,4.0,1,15125
2010-01-13,8.0,0,5442
2010-01-13,8.0,1,5117
2010-01-13,16.0,0,3240
2010-01-13,16.0,1,3516
2010-01-13,32.0,0,686
2010-01-13,32.0,1,1205
2010-01-13,33.0,1,6
2010-01-14,0.0,0,211
2010-01-14,0.0,1,289
2010-01-14,0.25,0,554
2010-01-14,0.25,1,701
2010-01-14,0.5,0,4261
2010-01-14,0.5,1,4611
2010-01-14,1.0,0,17248
2010-01-14,1.0,1,17349
2010-01-14,2.0,0,26099
2010-01-14,2.0,1,25252
2010-01-14,4.0,0,15835
2010-01-14,4.0,1,14085
2010-01-14,8.0,0,5392
2010-01-14,8.0,1,4653
2010-01-14,16.0,0,2784
2010-01-14,16.0,1,3572
2010-01-14,32.0,0,575
2010-01-14,32.0,1,1284
2010-01-14,33.0,1,11
2010-01-15,0.0,0,214
2010-01-15,0.0,1,260
2010-01-15,0.25,0,562
2010-01-15,0.25,1,687
2010-01-15,0.5,0,4149
2010-01-15,0.5,1,4435
2010-01-15,1.0,0,17023
2010-01-15,1.0,1,17141
2010-01-15,2.0,0,25902
2010-01-15,2.0,1,25659
2010-01-15,4.0,0,16553
2010-01-15,4.0,1,14682
2010-01-15,8.0,0,5619
2010-01-15,8.0,1,4889
2010-01-15,16.0,0,2950
2010-01-15,16.0,1,3970
2010-01-15,32.0,0,690
2010-01-15,32.0,1,1472
2010-01-16,0.0,0,197
2010-01-16,0.0,1,227
2010-01-16,0.25,0,367
2010-01-16,0.25,1,525
2010-01-16,0.5,0,2575
2010-01-16,0.5,1,3171
2010-01-16,1.0,0,10546
2010-01-16,1.0,1,13552
2010-01-16,2.0,0,17568
2010-01-16,2.0,1,23685
2010-01-16,4.0,0,13774
2010-01-16,4.0,1,17546
2010-01-16,8.0,0,4441
2010-01-16,8.0,1,5423
2010-01-16,16.0,0,2022
2010-01-16,16.0,1,2019
